Marcha,Autor,Año,Duración (seg),Duración (min),Dedicatoria,Localidad,Corneta,DR,LS,MS,XS,JS,VS,SS,Total_M
Marcha fúnebre Chopin,Chopin,1837,346,0:05:46,Sin dedicatoria,NA,0,0,0,0,0,0,1,0,1
Quinta Angustia,José Font Marimont,1891,184,0:03:04,Hdad Quinta Angustia,Sevilla,0,0,0,1,0,0,1,1,3
Ione,Enrico Petrella,1858,347,0:05:47,Sin dedicatoria,NA,0,0,0,0,0,0,1,0,1
Margot,Joaquín Turina Pérez,1914,350,0:05:50,Sin dedicatoria,Sanlúcar de Barrameda,0,0,0,1,0,0,1,1,3
María Santísima del Subterráneo,Pedro Gámez Laserna,1961,274,0:04:34,Virgen del Subterráneo,Sevilla,1,0,1,0,0,0,0,1,2
María Stma del Dulce Nombre,Luis Lerate Santaella,1955,243,0:04:03,Virgen del Dulce Nombre,Sevilla,0,0,0,1,0,0,0,0,1
"Mater Dei, Ego Sum",Rafael Vázquez Mateo,2014,284,0:04:44,Virgen de la Amargura,Sevilla,0,0,0,1,1,0,0,0,2
Mater Mea,Ricardo Dorado Janeiro,1962,355,0:05:55,Sin dedicatoria,NA,0,0,0,1,0,0,1,1,3
Mayor Dolor en Sevilla,Claudio Gómez Calado,2002,335,0:05:35,Hdad De la Carretería,Sevilla,0,0,0,0,0,0,1,0,1
Mediatrix Omnium Gratiarum,José Peña Rubio,2012,279,0:04:39,Virgen del Patrocinio,Sevilla,0,1,0,0,0,0,0,0,1
Mektub,Mariano San Miguel Urcelay,1925,468,0:07:48,Sin dedicatoria,NA,0,0,0,0,0,0,0,1,1
Memoria Eterna,Germán Álvarez Beigbeder,1907,271,0:04:31,Persona,Jerez de la Frontera,0,0,0,0,0,0,0,0,0
Mi Amargura,Víctor Manuel Ferrer,2007,410,0:06:50,Virgen de la Amargura,Granada,1,0,1,0,2,0,0,0,3
Mi Esperanza,José Peña Rubio,2016,312,0:05:12,Virgen de la Esperanza de la Trinidad,Jerez de la Frontera,0,1,0,0,0,1,0,0,2
Mística Palma,Juan Manuel Cutiño Garrido,2006,246,0:04:06,Virgen de la Palma,Cádiz,1,0,1,0,0,0,0,0,1
Ntra Sra del Mayor Dolor,Manuel López Farfán,1927,281,0:04:41,Ntra Señora del Mayor dolor en su Soledad,Sevilla,0,0,0,0,0,0,3,0,3
Nuestra Señora de la Palma,Manuel López Farfán,1927,297,0:04:57,Madre de Dios de la Palma,Sevilla,0,0,1,0,0,0,0,0,1
Nuestra Señora de Montserrat,Antonio Pantión Pérez,1955,296,0:04:56,Hdad De Montserrat,Sevilla,0,0,0,1,0,0,0,0,1
Nuestra Señora del Patrocinio,Pedro Gámez Laserna,1969,400,0:06:40,Virgen del Patrocinio,Sevilla,0,0,0,0,0,0,0,0,0
Nuestro Padre Jesús,Emilio Cebrián,1935,331,0:05:31,Ntro Padre Jesús Nazareno,Jaén,0,1,0,0,1,0,1,0,3
Palma Coronada,Abel Moreno,1999,261,0:04:21,Virgen de la Palma,Cádiz,1,1,1,0,0,0,0,0,2
Pasa la Virgen de la Soledad,Pedro Morales,1990,264,0:04:24,Virgen de la Soledad,Tocina,1,0,0,0,0,0,0,0,0
Pasa la Virgen de la Victoria,Pablo Ojeda,2008,323,0:05:23,Virgen de la Victoria,Sanlúcar de Barrameda,1,1,0,0,0,0,0,0,1
Pasa la Virgen Macarena,Pedro Gámez Laserna,1959,285,0:04:45,Esperanza Macarena,Sevilla,1,1,1,0,0,1,0,0,3
Pasan los Campanilleros,Manuel López Farfán,1924,260,0:04:20,Virgen de los Remedios,Sevilla,0,1,1,0,2,1,0,0,5
Procesión de Semana Santa en Sevilla,Pascual Marquina Narro,1922,210,0:03:30,Sin dedicatoria,Sevilla,1,1,1,0,0,0,1,0,3
Quién te vió y no te recuerda,David Hurtado Torres,2015,271,0:04:31,Madre de Dios de la Misericordia,Jerez de la Frontera,1,0,1,0,1,0,0,0,2
Regina Pacis,Manuel Borrego Hernández,1944,284,0:04:44,Virgen de la Paz,Sevilla,1,0,0,0,0,0,0,0,0
Reina de la O,Antonio David Rodríguez Gómez,2013,296,0:04:56,Hdad De la O,Sevilla,1,1,0,0,1,1,0,0,3
Reina Marinera,Juan José Domínguez Velo,2005,305,0:05:05,Virgen de la Esperanza,Sanlúcar de Barrameda,1,0,0,0,0,1,0,0,1
Rocío,Manuel Ruiz Vidriet,1927,341,0:05:41,Virgen del Rocio de Almonte,Almonte,1,0,1,0,1,1,0,0,3
Saeta Cordobesa,Pedro Gámez Laserna,1949,287,0:04:47,Hdad. De la Buena Muerte,Córdona,1,0,0,0,0,0,0,1,1
Sanidad,José Manuel García Pulido,2002,304,0:05:04,Hdad De la Sanidad,Cádiz,0,0,0,0,0,0,0,2,2
Se Arrodilla Triana,David Hurtado Torres,2019,268,0:04:28,Virgen de la Esperanza de Triana,Sevilla,1,1,1,0,1,1,0,0,4
Sevilla Cofradiera,Pedro Gámez Laserna,1972,304,0:05:04,Consejo de Cofradías de Sevilla,Sevilla,0,0,1,1,0,1,1,1,5
Siempre la Esperanza,Jesús Joaquín Espinosa de los Monteros,2012,276,0:04:36,Virgen de la Esperanza de Triana,Sevilla,1,1,1,0,1,1,0,0,4
Siervo de tus Dolores,Fulgencio Morón,1989,339,0:05:39,Hdad de los Servitas,Sevilla,0,0,0,0,0,0,0,1,1
